threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.0966,494,32,468,6,0.988,0.064,0.07199067327309822
0.0881,494,33,467,6,0.988,0.066,0.06996176179011471
0.084,495,33,467,5,0.99,0.066,0.07009345794392524
0.0777,496,33,467,4,0.992,0.066,0.07022511680588983
0.0728,497,33,467,3,0.994,0.066,0.07035673839184597
0.0573,498,33,467,2,0.996,0.066,0.07048832271762208
0.0514,499,33,467,1,0.998,0.066,0.07061986979903766
0.0508,499,34,466,1,0.998,0.068,0.06868547832071578
0.0446,499,35,465,1,0.998,0.07,0.06685423365487675
0.0437,499,36,464,1,0.998,0.072,0.06511809996085086
0.0434,499,37,463,1,0.998,0.074,0.06346985499872806
0.0431,499,38,462,1,0.998,0.076,0.06190298970351075
0.0391,499,39,461,1,0.998,0.078,0.060411622276029066
0.0387,499,40,460,1,0.998,0.08,0.058990424400047294
0.0383,499,41,459,1,0.998,0.082,0.05763455763455764
0.0377,499,42,458,1,0.998,0.084,0.05633961838094163
0.0367,499,43,457,1,0.998,0.086,0.05510159010600708
0.0364,499,44,456,1,0.998,0.088,0.053916801728795254
0.033,499,45,455,1,0.998,0.09,0.052781891262957494
0.0325,499,46,454,1,0.998,0.092,0.05169377395628303
0.0319,499,47,453,1,0.998,0.094,0.05064961429151442
0.0315,499,48,452,1,0.998,0.096,0.049646801313302166
0.0311,499,50,450,1,0.998,0.1,0.047755766102019336
0.0309,499,51,449,1,0.998,0.102,0.04686326070623592
0.0305,499,53,447,1,0.998,0.106,0.04517472388194822
0.0301,499,55,445,1,0.998,0.11,0.04360363509262496
0.0299,499,56,444,1,0.998,0.112,0.04285836983595294
0.0297,499,58,442,1,0.998,0.116,0.04144174071920937
0.0296,499,59,441,1,0.998,0.118,0.04076797385620916
0.0293,499,60,440,1,0.998,0.12,0.04011576493287242
0.0292,499,62,438,1,0.998,0.124,0.03887201059437563
0.0287,499,63,437,1,0.998,0.126,0.03827861307149433
0.0286,499,64,436,1,0.998,0.128,0.03770306006800152
0.0284,499,65,435,1,0.998,0.13,0.03714455858270062
0.0283,499,66,434,1,0.998,0.132,0.03660236191593927
0.0276,499,68,432,1,0.998,0.136,0.03556410804646854
0.0275,499,69,431,1,0.998,0.138,0.03506676036542516
0.0274,499,70,430,1,0.998,0.14,0.03458313119412295
0.0272,499,71,429,1,0.998,0.142,0.034112660650806675
0.0271,499,72,428,1,0.998,0.144,0.033654818911445346
0.027,499,73,427,1,0.998,0.146,0.03320910421935313
0.0268,499,74,426,1,0.998,0.148,0.03277504105090313
0.0267,499,75,425,1,0.998,0.15,0.03235217842323652
0.0265,499,78,422,1,0.998,0.156,0.03114662006116972
0.0264,499,79,421,1,0.998,0.158,0.03076448828606659
0.0262,499,80,420,1,0.998,0.16,0.03039161946525367
0.0261,499,82,418,1,0.998,0.164,0.0296723553547006
0.026,499,83,417,1,0.998,0.166,0.02932534085566526
0.0258,499,84,416,1,0.998,0.168,0.028986349114144643
0.0257,499,85,415,1,0.998,0.17,0.02865510508786034
0.0256,499,86,414,1,0.998,0.172,0.028331346164764667
0.0255,499,89,411,1,0.998,0.178,0.027402526084568925
0.0251,499,91,409,1,0.998,0.182,0.02681642304385211
0.025,499,94,406,1,0.998,0.188,0.02598281697474616
0.0249,499,96,404,1,0.998,0.192,0.025455287456001632
0.0247,499,99,401,1,0.998,0.198,0.024702970297029704
0.0245,499,102,398,1,0.998,0.204,0.02399384526614416
0.0243,499,103,397,1,0.998,0.206,0.023766431701276437
0.0242,499,104,396,1,0.998,0.208,0.023543288511441385
0.0241,499,105,395,1,0.998,0.21,0.023324296531737874
0.024,499,109,391,1,0.998,0.218,0.022487607030193785
0.0239,499,110,390,1,0.998,0.22,0.022287730581982225
0.0234,499,112,388,1,0.998,0.224,0.021898450871110725
0.0233,499,113,387,1,0.998,0.226,0.02170886626642304
0.0232,499,117,383,1,0.998,0.234,0.020982255487343372
0.0231,499,121,379,1,0.998,0.242,0.020302709740418264
